the_geom,OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE
POINT (-122.434235209214 37.708874937585),23620,Chicago Way&Cordova St E-FS/PS,CHGOCOR0,CHGOCORD,3960,37.708869999999997,-122.43422200000001,0,CORDOVA ST,CHICAGO WAY,FS,E,,0,10/29/2017 05:39:39 PM +0000,652913,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.408863208645 37.731504941624),24757,Silver Ave&Merrill St N-NS/BZ,SILVMER1,SILVMERL,6411,37.731500000000004,-122.40885,0,MERRILL ST,SILVER AVE,NS,N,BZ,0,10/29/2017 05:39:39 PM +0000,654922,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.42146121738 37.786579945287),24819,Post St&Van Ness Ave SE-FS/BZ,POSTV.N1,POSTV.N.,6024,37.786574999999999,-122.421448,0,VAN NESS AVE,POST ST,FS,SE,BZ,1,10/29/2017 05:39:39 PM +0000,655008,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.415743214602 37.773334944624),22749,11th St&Howard St N-FS/BZ,11STHWR1,11STHWRD,3240,37.773330000000001,-122.41573,0,HOWARD ST,11TH ST,FS,N,BZ,1,10/29/2017 05:39:39 PM +0000,651894,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.436175214627 37.748857940846),23470,Diamond St&Clipper St NW-NS/PS,DIAMCLP0,DIAMCLPR,4390,37.748852999999997,-122.436162,0,CLIPPER ST,DIAMOND ST,NS,NW,,0,10/29/2017 05:39:39 PM +0000,652980,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.466325221115 37.76214393935),25200,Judah St&9th Ave SW-NS/SI,JUDA 9A1,JUDA 9AV,5194,37.762138999999998,-122.466312,0,09TH AVE,JUDAH ST,NS,SW,SI,0,10/29/2017 05:39:39 PM +0000,655790,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.433283216757 37.767514942363),22762,14th St&Noe St NE-NS/PS,14STNOE1,14STNOE,3258,37.767510000000001,-122.43326999999999,0,NOE ST,14TH ST,NS,NE,,0,10/29/2017 05:39:39 PM +0000,651916,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.409235214104 37.777939944855),24565,7th St&Howard St E-NS/SI,7STHWR1,7STHWRD,3194,37.777934999999999,-122.409222,0,FOLSOM ST,7TH ST,NS,E,BZ,0,10/29/2017 05:39:39 PM +0000,654599,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.421744218335 37.796189945484),25298,Polk St&Broadway NE-FS/BZ,POLKBDW1,POLKBDWY,5983,37.796185000000001,-122.42173099999999,0,BROADWAY,POLK ST,FS,NE,BZ,1,10/29/2017 05:39:39 PM +0000,656254,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.450213219409 37.766834941325),23307,Cole St&Frederick St NW-NS/PS,COLEFRE0,COLEFRED,4094,37.766829999999999,-122.45020000000001,0,FREDERICK ST,COLE ST,NS,NW,,0,10/29/2017 05:39:39 PM +0000,652708,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.444492217377 37.760484940826),23491,Corbett Ave&Mars St W-FS/SB,CRBTMAR0,CRBTMARS,4184,37.760480000000001,-122.444479,0,MARS ST,CORBETT AVE,FS,W,,0,10/29/2017 05:39:39 PM +0000,653005,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.50450322368 37.741827935307),25980,Taraval St&46th Ave NE-NS/PS,TARA46A0,TARA46AV,6638,37.741822999999997,-122.50449,0,46TH AVE,TARAVAL ST,NS,NE,,0,10/29/2017 05:39:39 PM +0000,657283,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.413403208982 37.72499494091),24718,University St&Bacon St SE-NS,UNIVBAC0,UNIVBACN,6789,37.724989999999998,-122.41338999999999,0,BACON ST,UNIVERSITY ST,NS,SE,FL,0,10/29/2017 05:39:39 PM +0000,655245,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.438553215636 37.751124940527),26046,Douglass St&24TH St NW-NS/BZ,DOUG24S1,DOUG24ST,4443,37.75112,-122.43854,0,24TH ST,DOUGLASS ST,NS,NW,BZ,1,10/29/2017 05:39:39 PM +0000,657394,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.459055218301 37.747260938829),24165,Laguna Honda Blvd&Dewey Blvd E-NS,LGHNDEW1,LGHNDEWY,5244,37.747256,-122.459042,0,DEWEY BLVD,LAGUNA HONDA BLVD,NS,E,FL,0,10/29/2017 05:39:39 PM +0000,654147,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.4625982144 37.713332935937),24401,Orizaba Ave&Broad St NW-NS/PS,ORIZBRO0,ORIZBROD,5825,37.713327999999997,-122.462585,0,BROAD ST,ORIZABA AVE,NS,NW,,0,10/29/2017 05:39:39 PM +0000,654378,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
